               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092615,            0.031633,            0.031178,             0.49755,             0.25516,             0.15214,             0.05675,            0.063688,             0.02099,            0.023086,            0.070319,           0.0032979,           0.0032979
                   1,            0.068728,            0.024483,            0.019418,             0.78567,              0.2345,             0.32453,             0.11683,            0.059516,            0.015324,             0.01495,            0.040188,           0.0064999,           0.0064999
                   2,            0.064867,            0.020784,            0.014101,             0.58411,             0.48533,             0.50906,             0.18461,            0.067053,            0.011138,           0.0084652,           0.0099246,           0.0095699,           0.0095699
                   3,            0.060173,            0.016646,           0.0094295,             0.40361,             0.77363,             0.61635,              0.2916,            0.056144,            0.010059,           0.0051249,            0.009406,            0.009406,            0.009406
                   4,            0.053686,            0.014203,           0.0072676,             0.55266,             0.81346,             0.70526,             0.38591,            0.055432,           0.0090622,           0.0041361,            0.009406,            0.009406,            0.009406
                   5,            0.047244,            0.013486,           0.0059643,             0.61241,             0.82777,              0.8178,             0.43323,            0.042264,           0.0083094,           0.0035055,            0.009208,            0.009208,            0.009208
                   6,            0.042621,            0.012669,           0.0051772,             0.77838,              0.8431,             0.85935,               0.526,            0.035866,           0.0075972,           0.0033485,             0.00901,             0.00901,             0.00901
                   7,            0.039392,             0.01168,            0.004073,             0.90048,             0.84249,             0.88644,             0.46095,            0.036194,           0.0074893,           0.0029057,            0.008812,            0.008812,            0.008812
                   8,            0.037973,             0.01133,           0.0041173,             0.89126,             0.86944,             0.89128,             0.51816,            0.035059,           0.0073575,           0.0029772,            0.008614,            0.008614,            0.008614
                   9,            0.034714,               0.011,           0.0034702,             0.78355,             0.83749,             0.89602,             0.57171,            0.029055,           0.0071709,           0.0024807,            0.008416,            0.008416,            0.008416
                  10,            0.033654,            0.010212,           0.0035494,             0.88532,             0.87944,             0.89454,             0.57541,            0.033035,           0.0072672,           0.0023913,            0.008218,            0.008218,            0.008218
                  11,            0.033779,            0.010763,           0.0030616,             0.89865,             0.90439,             0.91546,             0.59056,            0.029491,           0.0069662,           0.0022362,             0.00802,             0.00802,             0.00802
                  12,             0.03253,            0.010479,           0.0027312,             0.88193,             0.87822,             0.87771,             0.51978,            0.030649,           0.0066305,           0.0020476,            0.007822,            0.007822,            0.007822
                  13,             0.03106,           0.0096403,           0.0026295,             0.95868,             0.88565,             0.91981,             0.55317,            0.026839,           0.0066668,           0.0021969,            0.007624,            0.007624,            0.007624
                  14,            0.031287,           0.0099542,           0.0026019,             0.94307,             0.89328,             0.91107,             0.63846,            0.025724,           0.0066641,           0.0022862,            0.007426,            0.007426,            0.007426
                  15,            0.029628,             0.00968,           0.0024344,             0.93636,             0.87782,             0.90736,             0.63341,            0.027481,            0.006657,           0.0018772,            0.007228,            0.007228,            0.007228
                  16,            0.028804,           0.0097581,           0.0023214,             0.92728,             0.91001,             0.94509,             0.63448,            0.025796,           0.0063869,           0.0020977,             0.00703,             0.00703,             0.00703
                  17,            0.027634,           0.0096165,           0.0021705,             0.87813,             0.95309,              0.9543,             0.67529,            0.025976,           0.0062645,           0.0016196,            0.006832,            0.006832,            0.006832
                  18,            0.027336,           0.0095454,           0.0021405,             0.94465,             0.94082,             0.94101,             0.67566,            0.024627,           0.0063402,           0.0017669,            0.006634,            0.006634,            0.006634
                  19,            0.026245,           0.0095312,           0.0019958,             0.90448,             0.93195,             0.93182,             0.68575,            0.024607,           0.0061844,           0.0017405,            0.006436,            0.006436,            0.006436
                  20,            0.025715,            0.009211,           0.0019109,             0.93305,             0.95437,             0.94929,             0.69413,            0.023748,           0.0063102,           0.0016087,            0.006238,            0.006238,            0.006238
                  21,            0.024956,           0.0088113,           0.0018314,             0.92113,             0.91034,             0.93235,             0.70893,            0.022753,           0.0061864,           0.0014609,             0.00604,             0.00604,             0.00604
                  22,            0.023724,           0.0084983,           0.0021168,             0.93133,             0.95375,             0.95073,             0.68852,              0.0224,           0.0059933,           0.0016462,            0.005842,            0.005842,            0.005842
                  23,            0.023867,            0.008559,           0.0016525,             0.89834,             0.93832,             0.93778,             0.68571,            0.023891,           0.0062022,           0.0014725,            0.005644,            0.005644,            0.005644
                  24,            0.023695,           0.0086367,           0.0015827,             0.93491,             0.95084,             0.94973,             0.70578,            0.023935,           0.0063157,           0.0014529,            0.005446,            0.005446,            0.005446
                  25,            0.022645,           0.0086078,           0.0016638,             0.93738,             0.96252,             0.94683,             0.70861,            0.021946,           0.0059821,           0.0015428,            0.005248,            0.005248,            0.005248
                  26,              0.0239,           0.0087156,           0.0015518,             0.97545,             0.92231,             0.96456,             0.71886,            0.021991,           0.0057235,           0.0014902,             0.00505,             0.00505,             0.00505
                  27,            0.022151,           0.0081795,           0.0015484,              0.9367,             0.94782,             0.94983,             0.70984,            0.022351,            0.005913,           0.0015701,            0.004852,            0.004852,            0.004852
                  28,            0.022364,           0.0083009,           0.0013859,             0.94257,             0.93311,             0.92796,              0.7302,            0.020586,           0.0057878,           0.0013375,            0.004654,            0.004654,            0.004654
                  29,            0.021976,           0.0083583,           0.0011833,              0.9449,             0.93311,             0.92757,             0.72558,            0.021185,           0.0058851,           0.0012684,            0.004456,            0.004456,            0.004456
                  30,            0.020552,           0.0078489,           0.0013779,             0.93002,             0.92544,             0.94546,             0.72869,            0.020494,           0.0059786,           0.0013898,            0.004258,            0.004258,            0.004258
                  31,             0.02068,           0.0077791,           0.0013833,             0.92352,             0.92526,             0.92716,             0.72261,            0.020169,           0.0058516,           0.0013221,             0.00406,             0.00406,             0.00406
                  32,            0.019584,           0.0079884,           0.0012727,             0.94488,             0.93981,             0.93677,             0.73642,            0.020225,           0.0057579,           0.0012369,            0.003862,            0.003862,            0.003862
                  33,            0.019453,           0.0074089,           0.0011201,             0.93629,             0.93278,             0.92434,             0.73193,            0.020501,           0.0057598,           0.0012231,            0.003664,            0.003664,            0.003664
                  34,            0.019711,           0.0077952,           0.0010457,             0.93997,             0.92543,             0.92903,             0.73935,            0.018858,           0.0055801,           0.0012226,            0.003466,            0.003466,            0.003466
                  35,            0.019294,            0.007933,           0.0010371,             0.95018,             0.93311,             0.92585,             0.74398,            0.019329,           0.0058223,           0.0011137,            0.003268,            0.003268,            0.003268
                  36,            0.018248,           0.0074567,          0.00097451,             0.94737,             0.93975,             0.95918,             0.73587,            0.019588,           0.0057802,           0.0010031,             0.00307,             0.00307,             0.00307
                  37,            0.018128,           0.0074634,          0.00092427,             0.94422,             0.92769,              0.9369,              0.7375,            0.018889,           0.0057517,          0.00096539,            0.002872,            0.002872,            0.002872
                  38,            0.018191,            0.007471,          0.00091365,             0.95865,             0.92498,             0.96041,             0.76438,            0.018438,           0.0055087,          0.00093088,            0.002674,            0.002674,            0.002674
                  39,            0.017019,           0.0072482,          0.00096979,              0.9356,             0.94448,             0.94516,             0.76397,            0.018116,           0.0055262,          0.00089457,            0.002476,            0.002476,            0.002476
                  40,            0.017185,           0.0074448,          0.00097712,             0.95843,             0.96156,             0.97156,             0.76346,            0.017865,           0.0053435,          0.00080656,            0.002278,            0.002278,            0.002278
                  41,            0.016537,           0.0073033,          0.00083215,             0.95497,              0.9594,             0.97048,             0.77959,            0.017088,           0.0053442,          0.00075856,             0.00208,             0.00208,             0.00208
                  42,            0.016046,           0.0071431,          0.00074771,             0.94932,             0.93699,             0.94745,              0.7641,            0.017921,           0.0053892,          0.00077152,            0.001882,            0.001882,            0.001882
                  43,            0.016154,           0.0071328,          0.00082481,             0.96382,             0.92503,             0.95412,              0.7713,            0.017219,           0.0051789,          0.00072591,            0.001684,            0.001684,            0.001684
                  44,            0.015284,           0.0064247,          0.00072515,             0.94134,             0.94493,             0.93468,             0.76813,            0.016969,           0.0053216,          0.00070014,            0.001486,            0.001486,            0.001486
                  45,            0.015183,           0.0071564,          0.00076154,             0.94738,             0.93272,              0.9295,             0.77037,            0.017197,           0.0053104,          0.00065114,            0.001288,            0.001288,            0.001288
                  46,            0.015038,           0.0068447,          0.00079879,             0.94651,             0.93249,             0.92657,             0.77351,            0.016859,           0.0052986,          0.00064196,             0.00109,             0.00109,             0.00109
                  47,            0.014455,           0.0067169,          0.00058414,             0.94661,             0.93241,              0.9307,               0.781,            0.017105,           0.0053335,           0.0006632,            0.000892,            0.000892,            0.000892
                  48,            0.014626,           0.0065996,           0.0006757,              0.9469,             0.93297,             0.93167,             0.77199,            0.017175,           0.0053289,          0.00063805,            0.000694,            0.000694,            0.000694
                  49,            0.013931,           0.0063423,          0.00053307,             0.94632,             0.93111,             0.92978,             0.78165,            0.016856,           0.0053657,          0.00060432,            0.000496,            0.000496,            0.000496
